transaction_id,customer_id,account_id,transaction_date,transaction_type,amount
TX1000036,CUST2657,ACC188538,2024-04-12,Pos Purchase,7200.11
TX1000037,CUST2780,ACC106613,2024-10-21,Withdrawal,11679.79
TX1000038,CUST1013,ACC113884,2024-06-30,Bank Transfer,12756.26
TX1000039,CUST2554,ACC150279,2024-10-22,DEPOSIT,17285.9
TX1000040,CUST2650,ACC107051,2024-03-19,Withdrawal,8000.62
TX1000041,CUST1326,ACC111287,2024-04-06,Withdrawal,12902.02
TX1000042,CUST2429,ACC155897,2024-03-16,Bank Transfer,4664.61
TX1000043,CUST1865,ACC151369,2024-04-15,DEPOSIT,7825.57
TX1000044,CUST1696,ACC123459,2024-06-06,POS,15737.55
TX1000045,CUST1569,ACC192363,2024-04-02,Deposit,17476.33
TX1000046,CUST1318,ACC178134,2024-02-21,DEPOSIT,7608.47
TX1000047,CUST1440,ACC177693,2024-01-14,POS,213.08
TX1000048,CUST2960,ACC182505,2024-09-30,Bank Transfer,19278.55
TX1000049,CUST2563,ACC190456,2024-11-04,Deposit,5577.96
TX1000050,CUST1689,ACC191667,2024-01-21,WITHDRAWAL,13427.35
TX1000051,CUST1209,ACC158436,2024-03-06,DEPOSIT,17956.56
TX1000052,CUST1189,ACC180781,2024-10-03,Deposit,14925.1
TX1000053,CUST1778,ACC146612,2024-06-27,bank-transfer,8630.37
TX1000054,CUST1198,ACC140952,2024-02-05,POS,14924.76
TX1000055,CUST1735,ACC143559,2024-06-16,Deposit,4152.51
TX1000056,CUST2735,ACC125971,2024-06-10,Bank Transfer,14236.39
TX1000057,CUST1704,ACC193441,2024-04-27,deposit,12475.76
TX1000058,CUST2236,ACC199405,2024-12-02,Deposit,1420.36
TX1000059,CUST1541,ACC187932,2024-04-16,Bank Transfer,13798.77
TX1000060,CUST2652,ACC169924,2024-04-13,POS,5675.64
TX1000061,CUST1088,ACC110295,2024-06-04,Bank Transfer,12049.73
TX1000062,CUST2494,ACC199056,2024-03-24,Bank Transfer,7051.46
TX1000063,CUST1940,ACC161039,2024-08-05,WITHDRAWAL,9310.25
TX1000064,CUST2098,ACC174421,2024-05-18,POS,13792.54
TX1000065,CUST1255,ACC117274,2024-04-29,bank-transfer,2949.3
TX1000066,CUST2992,ACC112178,2024-04-21,Bank Transfer,13188.12
TX1000067,CUST2888,ACC191566,2024-06-30,Withdrawal,8470.58
TX1000068,CUST1775,ACC161377,2024-01-14,Bank Transfer,3242.0
TX1000069,CUST1161,ACC112748,2024-03-11,Withdrawal,13551.03
TX1000070,CUST2130,ACC159714,2024-08-13,Bank Transfer,5242.79
TX1000071,CUST1600,ACC140683,2024-03-04,withdrawal,6262.59
TX1000072,CUST2698,ACC189715,2024-07-11,Pos Purchase,16807.7
TX1000073,CUST2287,ACC184465,2024-01-14,Deposit,13553.01
TX1000074,CUST2266,ACC193089,2024-08-15,POS,5588.16
TX1000075,CUST2813,ACC161000,2024-04-16,Deposit,3201.6
TX1000076,CUST2764,ACC161675,2024-07-13,Bank Transfer,5498.99
TX1000077,CUST1740,ACC130368,2024-01-26,Withdrawal,9768.91
TX1000078,CUST2182,ACC129333,2024-08-16,POS,490.35
TX1000079,CUST1393,ACC118837,2024-08-12,withdrawal,11107.62
TX1000080,CUST2442,ACC180863,2024-07-23,Bank Transfer,6467.39
TX1000081,CUST1142,ACC133823,2024-04-11,Bank Transfer,1192.55
TX1000082,CUST1093,ACC147638,2024-04-15,Withdrawal,2584.18
TX1000083,CUST2354,ACC151390,2024-07-13,Deposit,14371.03
TX1000084,CUST1466,ACC124032,2024-10-29,BankTransfer,4515.52
TX1000085,CUST2583,ACC191699,2024-03-04,Withdrawal,19104.75
TX1000086,CUST1592,ACC187186,2024-02-17,POS,11522.65
TX1000087,CUST1163,ACC143296,2024-03-30,BankTransfer,588.43
TX1000088,CUST2751,ACC142567,2024-09-16,Withdrawal,2355.39
TX1000089,CUST1476,ACC159412,2024-10-23,Withdrawal,14429.6
TX1000090,CUST2774,ACC163898,2024-09-21,Bank Transfer,10096.05
TX1000091,CUST1206,ACC103966,2024-03-03,Withdrawal,1831.44
TX1000092,CUST1778,ACC108567,2024-03-24,pos,15186.54
TX1000093,CUST1569,ACC162303,2024-04-17,Deposit,2884.18
TX1000094,CUST1928,ACC114796,2024-03-02,Deposit,4484.67
TX1000095,CUST2301,ACC146064,2024-09-07,DEPOSIT,7123.52
TX1000096,CUST2708,ACC162737,2024-11-05,Withdrawal,10998.98
TX1000097,CUST1747,ACC160455,2024-07-02,Withdrawal,1076.29
TX1000098,CUST1333,ACC122387,2024-06-11,POS,17822.94
TX1000099,CUST1758,ACC136996,2024-07-31,Deposit,10966.81
TX1000100,CUST1727,ACC145693,2024-04-07,POS,19964.25
TX1000101,CUST1429,ACC179225,2024-04-17,WITHDRAWAL,-773.44
TX1000102,CUST2372,ACC175324,2024-02-16,Deposit,13476.43
TX1000103,CUST1546,ACC116697,2024-09-16,Bank Transfer,18933.45
TX1000104,CUST2437,ACC166577,2024-07-03,Withdrawal,7325.85
TX1000105,CUST2918,ACC113491,2024-09-01,POS,4377.01
TX1000106,CUST2399,ACC153174,2024-05-10,POS,9146.12
TX1000107,CUST2327,ACC193621,2024-09-17,BankTransfer,16755.73
TX1000108,CUST1146,ACC114022,2024-02-27,Deposit,3962.57
TX1000109,CUST2247,ACC142712,2024-08-21,Bank Transfer,8079.97
TX1000110,CUST2300,ACC172895,2024-01-09,POS,
TX1000111,CUST1350,ACC185124,2024-01-04,Withdrawal,12721.4
TX1000112,CUST2093,ACC109296,2024-07-13,pos,9002.54
TX1000113,CUST2493,ACC139599,2024-08-03,Pos Purchase,3322.36
TX1000114,CUST1501,ACC169828,2024-07-23,Bank Transfer,15341.26
TX1000115,CUST1334,ACC160420,2024-02-21,Withdrawal,1426.85
TX1000116,CUST1946,ACC152535,2024-06-30,Deposit,6382.21
TX1000117,CUST1777,ACC177402,2024-07-03,POS,7625.62
TX1000118,CUST1552,ACC154190,2024-06-07,Bank Transfer,12166.98
TX1000119,CUST2895,ACC131270,2024-02-03,WITHDRAWAL,13204.4
TX1000120,CUST2310,ACC181379,2024-08-10,Bank Transfer,7368.14
TX1000121,CUST2409,ACC131941,2024-11-29,Withdrawal,13939.78
TX1000122,CUST2140,ACC171820,2024-06-02,BankTransfer,11631.51
TX1000123,CUST1449,ACC120843,2024-04-27,Withdrawal,17960.5
TX1000124,CUST2402,ACC163225,2024-12-25,POS,7075.53
TX1000125,CUST1664,ACC150307,2024-02-13,Deposit,9897.8
TX1000126,CUST2726,ACC108658,2024-11-29,DEPOSIT,11371.24
TX1000127,CUST2573,ACC144658,2024-11-25,Deposit,
TX1000128,CUST2589,ACC127294,2024-07-18,Bank Transfer,7423.36
TX1000129,CUST1114,ACC190971,2024-08-29,POS,7363.21
TX1000130,CUST1469,ACC177459,2024-01-09,,17821.74
TX1000131,CUST2683,ACC156511,2024-05-20,Withdrawal,6490.96
TX1000132,CUST1065,ACC157062,2024-11-27,DEPOSIT,12974.28
TX1000133,CUST2648,ACC174345,2024-06-14,deposit,13769.7
TX1000134,CUST1646,ACC144852,2024-01-24,POS,7740.59
TX1000135,CUST1821,ACC171372,2024-03-13,POS,11267.27
TX1000136,CUST1548,ACC190981,2024-05-07,WITHDRAWAL,12634.51
TX1000137,CUST1135,ACC130953,2024-03-31,deposit,8867.78
TX1000138,CUST1432,ACC122686,2024-10-16,POS,6014.25
TX1000139,CUST2870,ACC186849,2024-01-05,WITHDRAWAL,7297.35
TX1000140,CUST2931,ACC187766,2024-03-06,Withdrawal,17802.93
TX1000141,CUST2161,ACC110209,2024-09-22,POS,16798.42
TX1000142,CUST2794,ACC196910,2024-03-20,Deposit,17952.44
TX1000143,CUST2470,ACC193311,2024-03-12,Bank Transfer,11187.42
TX1000144,CUST1644,ACC175260,2024-12-21,Deposit,12489.07
TX1000145,CUST1435,ACC163783,2024-08-28,Withdrawal,18841.77
TX1000146,CUST2342,ACC114984,2024-01-20,POS,13796.68
TX1000147,CUST2022,ACC177616,2024-02-01,Withdrawal,2628.32
TX1000148,CUST1810,ACC178128,2024-11-01,Bank Transfer,17066.27
TX1000149,CUST2811,ACC160674,2024-04-17,POS,17938.72
TX1000150,CUST2872,ACC142647,2024-12-04,POS,2876.81
TX1000151,CUST2316,ACC172756,2024-05-30,Bank Transfer,18661.24
TX1000152,CUST1939,ACC112799,2024-07-09,Bank Transfer,18848.66
TX1000153,CUST1292,ACC158355,2024-11-12,Deposit,17885.46
TX1000154,CUST1542,ACC123091,2024-07-31,Deposit,15475.07
TX1000155,CUST1285,ACC140374,2024-03-21,Deposit,12908.3
TX1000156,CUST1505,ACC153188,2024-08-02,Deposit,10017.47
TX1000157,CUST2525,ACC109123,2024-03-29,Deposit,-15499.09
TX1000158,CUST2149,ACC178415,2024-03-30,Bank Transfer,1495.38
TX1000159,CUST2103,ACC114253,2024-09-22,POS,13005.73
TX1000160,CUST1538,ACC189850,2024-03-18,BankTransfer,1934.65
TX1000161,CUST2529,ACC178172,2024-12-08,pos,1351.35
TX1000162,CUST2197,ACC149664,2024-04-02,Withdrawal,12586.76
TX1000163,CUST1877,ACC142914,2024-07-05,Bank Transfer,3707.63
TX1000164,CUST2838,ACC164788,2024-02-26,Withdrawal,5994.39
TX1000165,CUST2195,ACC184540,2024-03-24,Deposit,18154.47
TX1000166,CUST1817,ACC186529,2024-01-16,Deposit,9833.61
TX1000167,CUST1741,ACC108058,2024-09-11,POS,14213.55
TX1000168,CUST1449,ACC111866,2024-04-14,Bank Transfer,6400.19
TX1000169,CUST1283,ACC128522,2024-06-05,Withdrawal,1210.24
TX1000170,CUST2043,ACC118208,2024-07-25,Withdrawal,4098.14
TX1000171,CUST2010,ACC176122,2024-11-16,Bank Transfer,15791.94
TX1000172,CUST1186,ACC198957,2024-07-10,POS,13299.57
TX1000173,CUST2547,ACC183379,2024-05-15,Bank Transfer,9476.95
TX1000174,CUST1096,ACC100024,2024-11-14,Bank Transfer,7720.49
TX1000175,CUST2763,ACC199231,2024-06-13,POS,12462.99
TX1000176,CUST1224,ACC119231,2024-01-15,Bank Transfer,5248.92
TX1000177,CUST1313,ACC186623,2024-01-14,Bank Transfer,4057.6
TX1000178,CUST2285,ACC119558,2024-06-18,Withdrawal,10262.69
TX1000179,CUST1327,ACC159372,2024-01-15,Bank Transfer,15494.46
TX1000180,CUST2622,ACC169632,2024-08-28,BankTransfer,
TX1000181,CUST2393,ACC138207,2024-01-18,Bank Transfer,19021.92
TX1000182,CUST1864,ACC151115,2024-03-14,Bank Transfer,3779.17
TX1000183,CUST2221,ACC180684,2024-07-27,Withdrawal,14578.35
TX1000184,CUST1130,ACC175750,2024-01-24,WITHDRAWAL,13667.21
TX1000185,CUST1788,ACC158610,2024-10-03,Deposit,4847.03
TX1000186,CUST1781,ACC125646,2024-07-12,Deposit,14472.67
TX1000187,CUST2220,ACC126956,2024-11-02,Withdrawal,1840.32
TX1000188,CUST1958,ACC189327,2024-09-25,Deposit,3378.94
TX1000189,CUST2083,ACC141497,2024-03-27,POS,19840.41
TX1000190,CUST1514,ACC139286,2024-03-21,POS,17562.29
TX1000191,CUST2988,ACC174747,2024-02-21,Deposit,5721.76
TX1000192,CUST2133,ACC189071,2024-01-08,deposit,14738.32
TX1000193,CUST2762,ACC139917,2024-06-27,Bank Transfer,3465.72
TX1000194,CUST2930,ACC156980,,Withdrawal,4013.5
TX1000195,CUST1023,ACC194082,2024-02-17,POS,15460.35
TX1000196,CUST2393,ACC145123,2024-08-02,Deposit,4678.7
TX1000197,CUST2476,ACC111703,2024-02-03,POS,12883.28
TX1000198,CUST1234,ACC176379,2024-02-27,Deposit,15888.03
TX1000199,CUST2396,ACC101064,2024-08-31,DEPOSIT,450.82
TX1000200,CUST2812,ACC180149,2024-08-25,Bank Transfer,5017.78
TX1000201,CUST2099,ACC166902,2024-07-31,Bank Transfer,3528.79
TX1000202,CUST2537,ACC152978,2024-10-01,WITHDRAWAL,14333.82
TX1000203,CUST1546,ACC116718,2024-08-13,Bank Transfer,16456.59
TX1000204,CUST2574,ACC138559,2024-03-09,DEPOSIT,18024.55
TX1000205,CUST2312,ACC108180,2024-11-04,Withdrawal,7240.33
TX1000206,CUST1696,ACC148394,2024-11-22,POS,16610.76
TX1000207,CUST1228,ACC171943,2024-01-01,POS,3303.67
TX1000208,CUST1601,ACC106963,2024-06-08,Withdrawal,9569.12
TX1000209,CUST1890,ACC100110,2024-08-31,POS,6346.52
TX1000210,CUST1323,ACC192190,2024-08-28,Deposit,11367.98
TX1000211,CUST1929,ACC173404,2024-05-11,pos,14150.97
TX1000212,CUST1006,ACC147086,2024-03-06,Withdrawal,5653.44
TX1000213,CUST2953,ACC114378,2024-06-14,Withdrawal,16347.82
TX1000214,CUST2478,ACC136989,2024-12-02,Deposit,12159.56
TX1000215,CUST2793,ACC104087,2024-10-03,Withdrawal,5065.08
TX1000216,CUST2473,ACC130833,2024-07-06,deposit,2734.55
TX1000217,CUST1539,ACC156585,2024-11-10,DEPOSIT,18218.83
TX1000218,CUST2990,ACC192041,2024-12-08,,4740.97
TX1000219,CUST2025,ACC177353,2024-02-19,Deposit,3085.73
TX1000220,CUST2560,ACC151677,2024-09-01,Withdrawal,6056.71
TX1000221,CUST1365,ACC181948,2024-09-09,POS,173.14
TX1000222,CUST2039,ACC141697,2024-10-19,,11078.23
TX1000223,CUST2869,ACC193293,2024-04-10,bank-transfer,11890.93
TX1000224,CUST1217,ACC150173,2024-03-05,Deposit,19096.69
TX1000225,CUST2782,ACC153219,2024-04-22,Deposit,15636.75
TX1000226,CUST2280,ACC150012,2024-09-20,Deposit,4086.89
TX1000227,CUST1611,ACC157041,2024-03-07,Pos Purchase,-6059.07
TX1000228,CUST2723,ACC171449,2024-03-14,Deposit,19265.02
TX1000229,CUST2308,ACC127684,2024-04-25,POS,19548.11
TX1000230,CUST2039,ACC186833,2024-12-03,withdrawal,5247.1
TX1000231,CUST2247,ACC122729,,Deposit,10051.77
TX1000232,CUST1407,ACC162242,2024-02-18,Withdrawal,7344.13
TX1000233,CUST1313,ACC118228,2024-07-25,Deposit,1382.46
TX1000234,CUST1765,ACC124671,2024-05-24,Bank Transfer,4294.64
TX1000235,CUST2561,ACC172800,2024-11-10,withdrawal,15345.07
TX1000236,CUST1330,ACC150409,2024-02-23,POS,12472.02
TX1000237,CUST2104,ACC147223,2024-05-07,Withdrawal,13841.17
TX1000238,CUST2952,ACC154687,2024-04-25,Withdrawal,17850.95
TX1000239,CUST2594,ACC120220,2024-05-08,pos,8556.1
TX1000240,CUST2889,ACC137810,2024-04-04,Deposit,8326.05
TX1000241,CUST2086,ACC187826,2024-12-03,Bank Transfer,3720.93
TX1000242,CUST2881,ACC116455,2024-06-03,pos,4791.94
TX1000243,CUST1001,ACC117600,2024-06-17,POS,16389.54
TX1000244,CUST2226,ACC101520,2024-12-29,WITHDRAWAL,2328.33
TX1000245,CUST1663,ACC109403,2024-08-24,bank-transfer,2338.78
TX1000246,CUST2000,ACC184985,2024-12-08,Withdrawal,528.14
TX1000247,CUST1039,ACC102058,2024-10-29,Withdrawal,3316.83
TX1000248,CUST1229,ACC118873,2024-09-23,POS,1735.38
TX1000249,CUST2902,ACC194547,2024-09-21,Deposit,13919.15
TX1000250,CUST1743,ACC163792,2024-10-22,Deposit,4084.29
TX1000251,CUST2799,ACC186235,2024-05-16,Deposit,1680.82
TX1000252,CUST2703,ACC157243,2024-03-08,deposit,4483.53
TX1000253,CUST2652,ACC117796,2024-06-16,Deposit,1854.42
TX1000254,CUST1629,ACC111097,2024-08-04,,11845.34
TX1000255,CUST1490,ACC117985,2024-07-10,Withdrawal,6113.25
TX1000256,CUST1118,ACC184180,2024-12-04,WITHDRAWAL,697.05
TX1000257,CUST1493,ACC154507,2024-03-15,WITHDRAWAL,12365.2
TX1000258,CUST2798,ACC159772,2024-10-23,Bank Transfer,19016.25
TX1000259,CUST2161,ACC191146,2024-01-18,DEPOSIT,1024.28
TX1000260,CUST2939,ACC179223,2024-07-16,WITHDRAWAL,10905.26
TX1000261,CUST1161,ACC155797,2024-11-19,Bank Transfer,10570.55
TX1000262,CUST1175,ACC181690,2024-01-25,POS,1414.01
TX1000263,CUST2498,ACC123566,2024-04-11,BankTransfer,7603.12
TX1000264,CUST1995,ACC159558,2024-04-03,WITHDRAWAL,8249.25
TX1000265,CUST2671,ACC166770,2024-01-08,Deposit,16193.29
TX1000266,CUST1141,ACC155590,2024-03-14,DEPOSIT,3164.09
TX1000267,CUST2557,ACC172358,2024-11-20,Bank Transfer,2349.17
TX1000268,CUST2090,ACC158988,2024-01-18,WITHDRAWAL,11449.86
TX1000269,CUST2568,ACC150425,2024-05-01,pos,13525.25
TX1000270,CUST1257,ACC146570,2024-03-23,POS,17378.5
TX1000271,CUST1262,ACC129588,2024-07-22,Bank Transfer,731.65
TX1000272,CUST2351,ACC124352,2024-06-14,Bank Transfer,3090.05
TX1000273,CUST1973,ACC155675,2024-01-06,WITHDRAWAL,13417.32
TX1000274,CUST2939,ACC179242,2024-10-19,DEPOSIT,3851.94
TX1000275,CUST2125,ACC100973,2024-09-03,Bank Transfer,7857.18
TX1000276,CUST1338,ACC175751,2024-09-04,pos,11236.14
TX1000277,CUST1542,ACC165294,2024-06-25,POS,16334.65
TX1000278,CUST2080,ACC195802,2024-04-06,deposit,4145.87
TX1000279,CUST2786,ACC131031,2024-11-17,POS,8850.95
TX1000280,CUST2242,ACC193340,2024-10-22,WITHDRAWAL,3040.57
TX1000281,CUST1866,ACC165762,2024-07-26,Bank Transfer,15209.9
TX1000282,CUST2975,ACC135291,2024-08-19,POS,17621.22
TX1000283,CUST1433,ACC153849,2024-04-19,Withdrawal,12524.45
TX1000284,CUST2902,ACC171587,2024-08-20,Pos Purchase,9786.23
TX1000285,CUST2104,ACC175543,2024-11-14,Deposit,19834.11
TX1000286,CUST2546,ACC148099,2024-05-14,,19476.25
TX1000287,CUST2494,ACC104385,2024-10-06,Pos Purchase,14233.38
TX1000288,CUST2412,ACC104963,2024-08-13,Bank Transfer,13918.49
TX1000289,CUST1411,ACC174468,2024-03-01,deposit,1393.4
TX1000290,CUST2460,ACC163342,2024-05-23,Bank Transfer,9690.22
TX1000291,CUST1638,ACC192390,2024-12-01,BankTransfer,236.79
TX1000292,CUST1817,ACC148310,2024-09-20,Withdrawal,13107.34
TX1000293,CUST2375,ACC114832,2024-06-21,deposit,13818.73
TX1000294,CUST2330,ACC176056,2024-06-21,Bank Transfer,18039.24
TX1000295,CUST1764,ACC163115,2024-04-05,Withdrawal,1853.91
TX1000296,CUST1897,ACC190504,2024-05-10,Pos Purchase,2311.88
TX1000297,CUST2842,ACC110494,2024-06-23,Deposit,10128.49
TX1000298,CUST2059,ACC118623,2024-09-06,withdrawal,15256.95
TX1000299,CUST1924,ACC195706,2024-10-08,Deposit,5818.34
TX1000300,CUST1247,ACC195852,2024-08-21,deposit,6427.98
TX1000301,CUST1507,ACC168997,2024-12-05,DEPOSIT,
TX1000302,CUST1460,ACC198380,2024-02-19,Bank Transfer,2249.17
TX1000303,CUST1131,ACC136624,2024-12-08,Bank Transfer,14446.32
TX1000304,CUST1692,ACC160940,2024-06-24,withdrawal,15636.61
TX1000305,CUST1043,ACC167757,2024-09-22,pos,468.3
TX1000306,CUST2204,ACC110254,2024-05-14,Deposit,17748.21
TX1000307,CUST2134,ACC168597,2024-02-02,Bank Transfer,4987.82
TX1000308,CUST1471,ACC179963,2024-07-06,WITHDRAWAL,19054.18
TX1000309,CUST2205,ACC111592,2024-08-06,POS,5277.3
TX1000310,CUST1451,ACC132142,2024-11-24,Withdrawal,7363.92
TX1000311,CUST1014,ACC161925,2024-01-14,Pos Purchase,566.04
TX1000312,CUST1145,ACC182662,2024-10-05,Withdrawal,9866.92
TX1000313,CUST2449,ACC197214,2024-03-05,Bank Transfer,5129.47
TX1000314,CUST2292,ACC186997,2024-02-18,Bank Transfer,10389.58
TX1000315,CUST1120,ACC187650,2024-04-26,Bank Transfer,15401.24
TX1000316,CUST1468,ACC110234,2024-08-22,Deposit,6905.4
TX1000317,CUST1138,ACC189662,2024-02-26,POS,16529.26
TX1000318,CUST2854,ACC183058,2024-03-02,Bank Transfer,9923.67
TX1000319,CUST1064,ACC170673,2024-10-08,Withdrawal,6941.58
TX1000320,CUST2760,ACC175973,2024-12-30,POS,14070.08
TX1000321,CUST1676,ACC140959,2024-05-31,pos,7168.54
TX1000322,CUST1145,ACC180352,2024-03-05,Withdrawal,17194.67
TX1000323,CUST2052,ACC106917,2024-06-26,Withdrawal,9190.01
TX1000324,CUST1487,ACC145029,2024-06-06,Withdrawal,4529.61
TX1000325,CUST1570,ACC170127,2024-08-19,pos,16511.94
TX1000326,CUST2370,ACC101413,2024-08-11,Withdrawal,15120.49
TX1000327,CUST1994,ACC161455,2024-10-10,POS,4187.26
TX1000328,CUST1438,ACC159511,2024-02-12,Deposit,7893.54
TX1000329,CUST2104,ACC167195,2024-09-15,Withdrawal,16706.61
TX1000330,CUST1270,ACC161503,2024-04-03,POS,13246.12
TX1000331,CUST2481,ACC175230,2024-07-22,POS,19194.02
TX1000332,CUST2915,ACC196182,2024-09-18,POS,10081.53
TX1000333,CUST2807,ACC143452,2024-04-09,Deposit,1545.82
TX1000334,CUST2169,ACC155183,2024-03-13,Bank Transfer,13049.94
TX1000335,CUST2180,ACC146257,2024-12-14,Withdrawal,17057.0
TX1000336,CUST1968,ACC138616,2024-04-23,Bank Transfer,14889.62
TX1000337,CUST1497,ACC137907,2024-01-09,Withdrawal,15385.77
TX1000338,CUST2606,ACC121955,2024-04-11,Deposit,
TX1000339,CUST1968,ACC104630,2024-06-30,POS,17777.37
TX1000340,CUST2653,ACC191101,2024-09-26,BankTransfer,15103.31
TX1000341,CUST1833,ACC178333,2024-11-03,Bank Transfer,19531.31
TX1000342,CUST1389,ACC198228,2024-03-18,Deposit,19421.18
TX1000343,CUST1193,ACC139855,2024-10-15,POS,19082.59
TX1000344,CUST1198,ACC195285,2024-09-28,Deposit,15196.25
TX1000345,CUST2349,ACC173886,2024-09-25,Deposit,11470.89
TX1000346,CUST1882,ACC134136,2024-01-25,Deposit,7588.52
TX1000347,CUST1725,ACC108050,2024-09-29,POS,15432.01
TX1000348,CUST1867,ACC182483,2024-07-04,Bank Transfer,1217.93
TX1000349,CUST1841,ACC162018,2024-10-03,Withdrawal,7984.76
TX1000350,CUST1956,ACC175778,2024-04-27,Bank Transfer,9238.52
TX1000351,CUST2769,ACC122161,2024-12-21,Bank Transfer,283.15
TX1000352,CUST2493,ACC175085,2024-09-28,POS,11880.22
TX1000353,CUST1110,ACC106765,2024-03-26,Bank Transfer,5625.9
TX1000354,CUST2379,ACC186025,2024-07-10,Deposit,18280.81
TX1000355,CUST2338,ACC138240,2024-03-22,Bank Transfer,17254.62
TX1000356,CUST2323,ACC196649,2024-02-21,Bank Transfer,19357.28
TX1000357,CUST1201,ACC181830,2024-12-14,DEPOSIT,7950.29
TX1000358,CUST1124,ACC103578,2024-03-25,Pos Purchase,12095.88
TX1000359,CUST1824,ACC137593,2024-11-21,Deposit,17227.32
TX1000360,CUST2491,ACC163538,2024-11-20,WITHDRAWAL,2747.13
TX1000361,CUST1694,ACC110814,2024-11-12,Bank Transfer,15319.7
TX1000362,CUST2639,ACC116622,2024-04-25,Withdrawal,4371.82
TX1000363,CUST2764,ACC166269,2024-03-18,Deposit,9229.64
TX1000364,CUST1223,ACC110074,2024-10-03,Bank Transfer,595.27
TX1000365,CUST1509,ACC136418,2024-11-08,Deposit,2170.82
TX1000366,CUST1392,ACC133036,2024-08-05,BankTransfer,13626.93
TX1000367,CUST1389,ACC117372,2024-04-13,POS,10463.07
TX1000368,CUST2098,ACC180713,2024-05-22,Withdrawal,187.96
TX1000369,CUST1918,ACC136827,2024-01-26,POS,538.3
TX1000370,CUST1287,ACC136073,2024-07-24,Withdrawal,9914.59
TX1000371,CUST1864,ACC133679,2024-05-31,Deposit,18262.3
TX1000372,CUST1375,ACC101861,2024-07-18,Bank Transfer,5494.22
TX1000373,CUST1570,ACC197180,2024-09-24,Bank Transfer,980.64
TX1000374,CUST1947,ACC114621,2024-08-03,Bank Transfer,8422.92
TX1000375,CUST1511,ACC179144,2024-08-31,POS,5000.45
TX1000376,CUST2790,ACC122886,2024-08-27,Deposit,4331.89
TX1000377,CUST2890,ACC177564,2024-06-13,Withdrawal,4317.7
TX1000378,CUST1154,ACC196857,2024-03-10,DEPOSIT,3110.55
TX1000379,CUST1907,ACC119809,2024-06-02,Withdrawal,15055.2
TX1000380,CUST2654,ACC186396,2024-01-01,Deposit,6759.53
TX1000381,CUST2764,ACC158543,2024-02-08,POS,10694.99
TX1000382,CUST2753,ACC148466,2024-05-08,Deposit,9823.49
TX1000383,CUST2127,ACC122989,2024-12-28,POS,5713.43
TX1000384,CUST1200,ACC134242,2024-10-11,POS,13919.94
TX1000385,CUST1103,ACC191851,2024-12-08,POS,13872.86
TX1000386,CUST2335,ACC130958,2024-06-08,bank-transfer,11045.67
TX1000387,CUST2107,ACC163559,2024-04-16,Deposit,12464.79
